domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
ns3.dnsowl.com,0,0.00%,240,240,0.00%
ns-cloud-e3.googledomains.com,0,0.00%,245,245,0.00%
ns1.bluehost.com,0,0.00%,206,206,0.00%
ns35.domaincontrol.com,0,0.00%,409,409,0.00%
ns1.dan.com,0,0.00%,198,198,0.00%
ns2.dynadot.com,0,0.00%,129,129,0.00%
ns41.domaincontrol.com,0,0.00%,125,125,0.00%
ns1.nic53.net,0,0.00%,122,122,0.00%
ns1.dynadot.com,0,0.00%,130,130,0.00%
guss.ns.cloudflare.com,0,0.00%,104,104,0.00%
ns2.reg.ru,0,0.00%,523,523,0.00%
ns18.domaincontrol.com,0,0.00%,102,102,0.00%
ns54.domaincontrol.com,0,0.00%,107,107,0.00%
ns2.parkingcrew.net,0,0.00%,532,532,0.00%
ns1.parkingcrew.net,0,0.00%,553,553,0.00%
ns13.domaincontrol.com,0,0.00%,201,201,0.00%
ns14.domaincontrol.com,0,0.00%,180,180,0.00%
perla.ns.cloudflare.com,0,0.00%,102,102,0.00%
ns48.domaincontrol.com,0,0.00%,188,188,0.00%
ns47.domaincontrol.com,0,0.00%,147,147,0.00%
ns71.domaincontrol.com,0,0.00%,181,181,0.00%
ns72.domaincontrol.com,0,0.00%,193,193,0.00%
ns07.domaincontrol.com,0,0.00%,162,162,0.00%
ns08.domaincontrol.com,0,0.00%,184,184,0.00%
ns1.gname.net,0,0.00%,1852,1852,0.00%
ns2.gname.net,0,0.00%,2421,2421,0.00%
ns1.beget.com,0,0.00%,143,143,0.00%
ns2.beget.com,0,0.00%,136,136,0.00%
ns1.beget.pro,0,0.00%,129,129,0.00%
ns2.beget.pro,0,0.00%,144,144,0.00%
ns02.one.com,0,0.00%,148,148,0.00%
jm1.dns.com,0,0.00%,627,627,0.00%
jm2.dns.com,0,0.00%,1236,1236,0.00%
ns2.above.com,0,0.00%,246,246,0.00%
ns1.above.com,0,0.00%,161,161,0.00%
ns53.domaincontrol.com,0,0.00%,110,110,0.00%
ns0.centralnic.net,0,0.00%,135,135,0.00%
ns11.domaincontrol.com,0,0.00%,128,128,0.00%
ns12.domaincontrol.com,0,0.00%,127,127,0.00%
ns1.reg.ru,0,0.00%,554,554,0.00%
ns32.domaincontrol.com,0,0.00%,104,104,0.00%
ns75.domaincontrol.com,0,0.00%,136,136,0.00%
ns76.domaincontrol.com,0,0.00%,130,130,0.00%
a.gmoregistry.net,0,0.00%,406,406,0.00%
3.rlb.router.teamviewer.cn,0,0.00%,482,482,0.00%
www.360.com,0,0.00%,693,693,0.00%
www.sina.com.cn,0,0.00%,238,238,0.00%
c.xzhwdz.com,0,0.00%,120,120,0.00%
ns1.loopia.se,0,0.00%,122,122,0.00%
testip.internet-census.org,0,0.00%,118,118,0.00%
