domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
pushtrs.push.hicloud.com,0,0.00%,162,162,0.00%
usa1v2.jsssline.top,0,0.00%,147,147,0.00%
pypi.org,0,0.00%,11360,11360,0.00%
ns43.domaincontrol.com,0,0.00%,134,134,0.00%
ns44.domaincontrol.com,0,0.00%,140,140,0.00%
3.rlb.router.teamviewer.cn,0,0.00%,181,181,0.00%
ping.dgraph.io,0,0.00%,106,106,0.00%
api.basedata.union.longu.xyz,0,0.00%,103,103,0.00%
a.sox.si,0,0.00%,123,123,0.00%
dedi.1808.cf,0,0.00%,122,122,0.00%
www.360.com,0,0.00%,469,469,0.00%
www.sina.com.cn,0,0.00%,169,169,0.00%
people.canonical.com,0,0.00%,141,141,0.00%
www.example.com,0,0.00%,158,158,0.00%
h5.do889.com,0,0.00%,279,279,0.00%
gkaracha.github.io,0,0.00%,122,122,0.00%
